listing_id,title,description,address,detail_url,department_slug,department,department_real,city,neighborhood,locality,zone,latitude,longitude,price_cop,admin_fee_cop,bedrooms,bathrooms,area_m2,area_built_m2,stratum,floor,floors_count,antiquity,construction_year,garages,amenities,is_new_project,owner_type,owner_name,image_count,main_image_url,listing_created_at,listing_updated_at,source_page,scraped_at,run_started_at
193875206,Apartamento en Venta en Envigado,"RHBR-19958 | Apartamento en Envigado, sector Cityplaza: - Precio de venta: $850.000.000 - 66 M2 - 1 Alcoba - 1 Baño - 2 Garajes - Estrato: 4","RHBR-19958, (APARTAMENTO), Dúplex Zuñiga, Envigado",https://www.fincaraiz.com.co/apartamento-en-venta-en-envigado/193875206,antioquia,Antioquia,Antioquia,Envigado,Envigado,,,6.1627934,-75.5724501,850000000,0,1,1,66,66,4,0,0,0,,2,Amoblado; Ascensor; Barra estilo americano; Baño Auxiliar; Garaje(s); Gimnasio; Instalación de gas; Piscina; Portería / Recepción; Supermercados / C.Comerciales,False,inmobiliaria,RHBRAIZ,10,https://cdn2.infocasas.com.uy/repo/img/6a39b1507e995_infocdn__gr-rhbr19958-apto-loma-del-escobe-1781388520-8559-8488jpeg.jpeg,2026-06-13,2026-06-22,671,2026-07-28T20:01:49.647651+00:00,2026-07-27T17:19:38.987853+00:00
193852558,"Apartamento en Venta en Camino Verde, Envigado",RHBR-19299 | VENTA DE APARTAMENTO PARA ESTRENAR EN ENVIGADO - CAMINO VERDE: - Precio de venta: $865.000.000 - 84 M2 - 3 Alcobas - 2 Baños - 2 Garajes - Estrato: 4 - Más información y fotos:,"RHBR-19299, (APARTAMENTO), Camino Verde, Envigado",https://www.fincaraiz.com.co/apartamento-en-venta-en-camino-verde-envigado/193852558,antioquia,Antioquia,Antioquia,Envigado,Camino Verde,,,6.1493076,-75.5763604,865000000,0,3,2,84,84,4,0,0,0,,2,Barra estilo americano; Baño Auxiliar; Baño Independiente; Calentador; Closet; Cocina Integral; Depósito / Bodega; Garaje(s); Instalación de gas; Piso en Baldosa /  Mármol; Zona de lavandería,False,inmobiliaria,RHBRAIZ,16,https://cdn2.infocasas.com.uy/repo/img/6a39abc392d85_infocdn__gr-rhbr19299-apto-camino-verde-1780949574-6185-4393jpeg.jpeg,2026-06-08,2026-06-22,671,2026-07-28T20:01:49.647716+00:00,2026-07-27T17:19:38.987853+00:00
193880736,Apartamento en Venta en Abejorral,RHBR-19318 | Venta apartamento LAURELES cerca a LA MIGUERÍA: - Precio de venta: $820.000.000 - 113 M2 - 3 Alcobas - 4 Baños - 2 Garajes - Estrato: 5 - Más información y fotos: Colega,"Laureles, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-abejorral/193880736,antioquia,Antioquia,Antioquia,Abejorral,Abejorral,,Occidente,6.2505869980753,-75.588426589966,820000000,0,3,4,113,113,5,0,0,0,,2,Ascensor; Garaje(s); Portería / Recepción,False,inmobiliaria,RHBRAIZ,11,https://cdn2.infocasas.com.uy/repo/img/6a39adb19e458_infocdn__gr-rhbr19318-apto-laureles-1781127317-9182-9074jpeg.jpeg,2026-06-16,2026-06-22,671,2026-07-28T20:01:49.647746+00:00,2026-07-27T17:19:38.987853+00:00
193865507,"Apartamento en Venta en El Poblado, Medellín","RHBR-19468 | SE VENDE APARTAMENTO EN EL POBLADO MEDELLIN, sector PROVENZA. :
- Precio de venta: $780.000.000
- 101 M2
- 3 Alcobas
- 2 Baños
- 1 Garaje
- Estrato: 6","RHBR-19468, (APARTAMENTO), El Poblado, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-medellin/193865507,antioquia,Antioquia,Antioquia,Medellín,El Poblado,,Suroriente,6.2071019,-75.5634576,780000000,0,3,2,101,101,6,5,0,4,,1,Ascensor; Balcón; Cocina Integral; Depósito / Bodega; Instalación de gas; Portería / Recepción,False,inmobiliaria,RHBRAIZ,15,https://cdn2.infocasas.com.uy/repo/img/6a39ae0f9de93_infocdn__gr-rhbr19468-apto-provenza-1781186725-386-8315jpeg.jpeg,2026-06-11,2026-06-22,671,2026-07-28T20:01:49.647767+00:00,2026-07-27T17:19:38.987853+00:00
193862886,Apartamento en Venta en Abejorral,"RHBR-19197 | *•NUEVO INGRESO•*?
*•Apartamento parcialmente remodelado en sector de la Concha - El Poblado•*
Arrendado actualmente
- Precio de venta: $1.500.000.000
- 300 M2
- 3 Alcobas
- 4 Baños
- 2 Garajes
- Estrato: 6
- Más información y fotos:","RHBR-19197, (APARTAMENTO), El poblado, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-abejorral/193862886,antioquia,Antioquia,Antioquia,Abejorral,Abejorral,,Suroriente,6.2086828,-75.5604238,1500000000,0,3,4,300,300,6,0,0,0,,2,Ascensor; Baño Auxiliar; Baño Independiente; Closet; Cocina Equipada; Cocina Integral; Cuarto de servicio; En conjunto cerrado; Estudio; Garaje(s); Parqueadero Visitantes; Salón Comunal; Vigilancia; Zona Infantil; Zonas Verdes,False,inmobiliaria,RHBRAIZ,11,https://cdn2.infocasas.com.uy/repo/img/6a39aeb498377_infocdn__gr-rhbr19197-apto-la-concha-1781127714-0575-7947jpeg.jpeg,2026-06-10,2026-06-22,671,2026-07-28T20:01:49.647787+00:00,2026-07-27T17:19:38.987853+00:00
193867154,Apartamento en Venta en El Retiro,"RHBR-17576 | Venta de Exclusivo Apartamento chalet en Fizebad, Altos de Palmas:
- Precio de venta: $1.540.000.000
- 136 M2
- 2 Alcobas
- 3 Baños
- 2 Garajes
- Estrato: 5
- Más información y fotos:","RHBR-17576, (APARTAMENTO), Fizabad, El Retiro",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-retiro/193867154,antioquia,Antioquia,Antioquia,El Retiro,El Retiro,,,6.1538929,-75.5383544,1540000000,0,2,3,136,136,5,0,0,0,,2,Ascensor; Balcón; Depósito / Bodega,False,inmobiliaria,RHBRAIZ,26,https://cdn2.infocasas.com.uy/repo/img/6a39ae8588f1c_infocdn__gr-rhbr17576-apto-alto-de-palmas-1781203629-696-8007jpeg.jpeg,2026-06-11,2026-06-22,671,2026-07-28T20:01:49.647804+00:00,2026-07-27T17:19:38.987853+00:00
193866375,"Apartamento en Venta en El Poblado, Medellín","RHBR-19532 | Apartamento para la venta en el Poblado, Tesoro:
- Precio de venta: $1.590.000.000
- 210 M2
- 3 Alcobas
- 4 Baños
- 3 Garajes
- Estrato: 6","RHBR-19532, (APARTAMENTO), El Poblado, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-medellin/193866375,antioquia,Antioquia,Antioquia,Medellín,El Poblado,,Suroriente,6.1988174,-75.5732462,1590000000,0,3,4,210,210,6,5,0,3,,3,Balcón; Calentador; Cocina Integral; Depósito / Bodega; Instalación de gas; Piscina; Portería / Recepción; Zonas Verdes,False,inmobiliaria,RHBRAIZ,13,https://cdn2.infocasas.com.uy/repo/img/6a39ae0f55935_infocdn__gr-rhbr19532-apto-poblado-1781193799-0911-7452jpeg.jpeg,2026-06-11,2026-06-22,671,2026-07-28T20:01:49.647822+00:00,2026-07-27T17:19:38.987853+00:00
193866410,"Apartamento en Venta en El Poblado, Medellín","RHBR-19528 | Apartamento para la venta en el Poblado las Palmas:
- Precio de venta: $670.000.000
- 48 M2
- 1 Alcoba
- 2 Baños
- 1 Garaje
- Estrato: 5","RHBR-19528, (APARTAMENTO), El Poblado, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-medellin/193866410,antioquia,Antioquia,Antioquia,Medellín,El Poblado,,Suroriente,6.1860236,-75.5744724,670000000,0,1,2,48,48,5,18,0,3,,1,Asador; Balcón; Calentador; Cocina Integral; Depósito / Bodega; Gimnasio; Instalación de gas; Piscina; Portería / Recepción; Zonas Verdes,False,inmobiliaria,RHBRAIZ,29,https://cdn2.infocasas.com.uy/repo/img/6a39ae7fe2c56_infocdn__gr-rhbr19528-apto-las-palmas-1781194064-3464-7826jpeg.jpeg,2026-06-11,2026-06-22,671,2026-07-28T20:01:49.647840+00:00,2026-07-27T17:19:38.987853+00:00
193867061,"Apartamento en Venta en El Poblado, Medellín","RHBR-19491 | Remodelado con amplios espacios 132 m2 | Castropol – El Poblado:
- Precio de venta: $950.000.000
- 132.82 M2
- 3 Alcobas
- 3 Baños
- 2 Estacionamiento
- Estrato: 6
- Más información y fotos:","RHBR-19491, (APARTAMENTO), El Poblado, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-medellin/193867061,antioquia,Antioquia,Antioquia,Medellín,El Poblado,,Suroriente,6.217172314,-75.56689382,950000000,0,3,3,132,132,6,0,0,5,,2,Balcón; Cocina Integral; Cuarto de servicio; Depósito / Bodega; Garaje(s); Terraza,False,inmobiliaria,RHBRAIZ,20,https://cdn2.infocasas.com.uy/repo/img/6a39ae6e59a46_infocdn__gr-rhbr19491-apto-castropol-1781202193-2138-6622jpeg.jpeg,2026-06-11,2026-06-22,671,2026-07-28T20:01:49.647857+00:00,2026-07-27T17:19:38.987853+00:00
193866463,"Apartamento en Venta en El Poblado, Medellín","RHBR-19518 | Apartamento para la venta en el Poblado Loma de San Julián Parte Baja:
- Precio de venta: $960.000.000
- 102 M2
- 2 Alcobas
- 2 Baños
- 2 Garajes
- Estrato: 4","RHBR-19518, (APARTAMENTO), El Poblado, Medellín",https://www.fincaraiz.com.co/apartamento-en-venta-en-el-poblado-medellin/193866463,antioquia,Antioquia,Antioquia,Medellín,El Poblado,,Centro,6.2259671,-75.5679435,960000000,0,2,2,102,102,4,6,0,3,,2,Balcón; Calentador; Cancha de Futbol; Cocina Integral; Garaje(s); Gimnasio; Instalación de gas; Piscina; Portería / Recepción,False,inmobiliaria,RHBRAIZ,16,https://cdn2.infocasas.com.uy/repo/img/6a39af0e38e18_infocdn__gr-rhbr19518-apto-poblado-1781194497-3936-2576jpeg.jpeg,2026-06-11,2026-06-22,671,2026-07-28T20:01:49.647874+00:00,2026-07-27T17:19:38.987853+00:00
